Date,Close,High,Low,Open,Volume,Symbol,Category,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,,,IDEA.NS,IDEA.NS,IDEA.NS,IDEA.NS,IDEA.NS,JIOFIN.NS,JIOFIN.NS,JIOFIN.NS,JIOFIN.NS,JIOFIN.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS,LUPIN.NS,LUPIN.NS,LUPIN.NS,LUPIN.NS,LUPIN.NS,AUROPHARMA.NS,AUROPHARMA.NS,AUROPHARMA.NS,AUROPHARMA.NS,AUROPHARMA.NS,DLF.NS,DLF.NS,DLF.NS,DLF.NS,DLF.NS,GODREJPROP.NS,GODREJPROP.NS,GODREJPROP.NS,GODREJPROP.NS,GODREJPROP.NS,OBEROIRLTY.NS,OBEROIRLTY.NS,OBEROIRLTY.NS,OBEROIRLTY.NS,OBEROIRLTY.NS,PHOENIXLTD.NS,PHOENIXLTD.NS,PHOENIXLTD.NS,PHOENIXLTD.NS,PHOENIXLTD.NS,PRESTIGE.NS,PRESTIGE.NS,PRESTIGE.NS,PRESTIGE.NS,PRESTIGE.NS,L&T.NS,L&T.NS,L&T.NS,L&T.NS,L&T.NS,L&T.NS,BHEL.NS,BHEL.NS,BHEL.NS,BHEL.NS,BHEL.NS,SIEMENS.NS,SIEMENS.NS,SIEMENS.NS,SIEMENS.NS,SIEMENS.NS,ABB.NS,ABB.NS,ABB.NS,ABB.NS,ABB.NS,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS
2025-04-04,,,,,,PHOENIXLTD,Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580.300048828125,1639.5,1562.0,1629.0,774671.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-07,,,,,,PHOENIXLTD,Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1548.300048828125,1578.9000244140625,1480.0999755859375,1501.4000244140625,1339636.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-08,,,,,,PHOENIXLTD,Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1572.3499755859375,1590.0,1548.300048828125,1558.8499755859375,1110994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-09,,,,,,PHOENIXLTD,Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495.800048828125,1581.4000244140625,1481.0,1581.4000244140625,2106869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-11,,,,,,PHOENIXLTD,Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1478.0,1522.3499755859375,1470.0,1505.25,838815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-15,,,,,,PHOENIXLTD,Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1548.300048828125,1558.0,1497.0,1517.0,416227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-16,,,,,,PHOENIXLTD,Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1598.699951171875,1613.699951171875,1544.5,1547.800048828125,324034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-17,,,,,,PHOENIXLTD,Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614.699951171875,1630.0,1584.199951171875,1590.0,227378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-21,,,,,,PHOENIXLTD,Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1609.4000244140625,1636.5,1595.0,1612.0,400090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-22,,,,,,PHOENIXLTD,Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682.300048828125,1694.800048828125,1604.800048828125,1615.0999755859375,709125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
